method,pdb_id,decoy_rank,src_model,out_pdb
af3,4EZR,1,predictions\_raw\af3\4EZR\fold_4ezr_model_1.cif,predictions\af3\4EZR_rank01.pdb
af3,4EZR,2,predictions\_raw\af3\4EZR\fold_4ezr_model_2.cif,predictions\af3\4EZR_rank02.pdb
af3,4EZR,3,predictions\_raw\af3\4EZR\fold_4ezr_model_3.cif,predictions\af3\4EZR_rank03.pdb
af3,4EZR,4,predictions\_raw\af3\4EZR\fold_4ezr_model_4.cif,predictions\af3\4EZR_rank04.pdb
af3,4EZS,0,predictions\_raw\af3\4ezs\fold_4ezs_model_0.cif,predictions\af3\4EZS_rank00.pdb
af3,4EZS,1,predictions\_raw\af3\4ezs\fold_4ezs_model_1.cif,predictions\af3\4EZS_rank01.pdb
af3,4EZS,2,predictions\_raw\af3\4ezs\fold_4ezs_model_2.cif,predictions\af3\4EZS_rank02.pdb
af3,4EZS,3,predictions\_raw\af3\4ezs\fold_4ezs_model_3.cif,predictions\af3\4EZS_rank03.pdb
af3,4EZS,4,predictions\_raw\af3\4ezs\fold_4ezs_model_4.cif,predictions\af3\4EZS_rank04.pdb
af3,4EZU,0,predictions\_raw\af3\4EZU\fold_4ezu_model_0.cif,predictions\af3\4EZU_rank00.pdb
af3,4EZU,1,predictions\_raw\af3\4EZU\fold_4ezu_model_1.cif,predictions\af3\4EZU_rank01.pdb
af3,4EZU,2,predictions\_raw\af3\4EZU\fold_4ezu_model_2.cif,predictions\af3\4EZU_rank02.pdb
af3,4EZU,3,predictions\_raw\af3\4EZU\fold_4ezu_model_3.cif,predictions\af3\4EZU_rank03.pdb
af3,4EZU,4,predictions\_raw\af3\4EZU\fold_4ezu_model_4.cif,predictions\af3\4EZU_rank04.pdb
af3,4JWC,0,predictions\_raw\af3\4JWC\fold_4jwc_model_0.cif,predictions\af3\4JWC_rank00.pdb
af3,4JWC,1,predictions\_raw\af3\4JWC\fold_4jwc_model_1.cif,predictions\af3\4JWC_rank01.pdb
af3,4JWC,2,predictions\_raw\af3\4JWC\fold_4jwc_model_2.cif,predictions\af3\4JWC_rank02.pdb
af3,4JWC,3,predictions\_raw\af3\4JWC\fold_4jwc_model_3.cif,predictions\af3\4JWC_rank03.pdb
af3,4JWC,4,predictions\_raw\af3\4JWC\fold_4jwc_model_4.cif,predictions\af3\4JWC_rank04.pdb
af3,6HY2,0,predictions\_raw\af3\6hy2\fold_6hy2_model_0.cif,predictions\af3\6HY2_rank00.pdb
af3,6HY2,1,predictions\_raw\af3\6hy2\fold_6hy2_model_1.cif,predictions\af3\6HY2_rank01.pdb
af3,6HY2,2,predictions\_raw\af3\6hy2\fold_6hy2_model_2.cif,predictions\af3\6HY2_rank02.pdb
af3,6HY2,3,predictions\_raw\af3\6hy2\fold_6hy2_model_3.cif,predictions\af3\6HY2_rank03.pdb
af3,6HY2,4,predictions\_raw\af3\6hy2\fold_6hy2_model_4.cif,predictions\af3\6HY2_rank04.pdb
af3,6Z2P,0,predictions\_raw\af3\6Z2P\fold_6z2p_model_0.cif,predictions\af3\6Z2P_rank00.pdb
af3,6Z2P,1,predictions\_raw\af3\6Z2P\fold_6z2p_model_1.cif,predictions\af3\6Z2P_rank01.pdb
af3,6Z2P,2,predictions\_raw\af3\6Z2P\fold_6z2p_model_2.cif,predictions\af3\6Z2P_rank02.pdb
af3,6Z2P,3,predictions\_raw\af3\6Z2P\fold_6z2p_model_3.cif,predictions\af3\6Z2P_rank03.pdb
af3,6Z2P,4,predictions\_raw\af3\6Z2P\fold_6z2p_model_4.cif,predictions\af3\6Z2P_rank04.pdb
af3,8AHT,0,predictions\_raw\af3\8AHT\fold_8aht_model_0.cif,predictions\af3\8AHT_rank00.pdb
af3,8AHT,1,predictions\_raw\af3\8AHT\fold_8aht_model_1.cif,predictions\af3\8AHT_rank01.pdb
af3,8AHT,2,predictions\_raw\af3\8AHT\fold_8aht_model_2.cif,predictions\af3\8AHT_rank02.pdb
af3,8AHT,3,predictions\_raw\af3\8AHT\fold_8aht_model_3.cif,predictions\af3\8AHT_rank03.pdb
af3,8AHT,4,predictions\_raw\af3\8AHT\fold_8aht_model_4.cif,predictions\af3\8AHT_rank04.pdb
afmultimer,4E81,0,predictions\_raw\afmultimer\4E81\output_dir%2F4E81%2Funrelaxed_model_3_multimer_v3_pred_0.pdb,predictions\afmultimer\4E81_rank00.pdb
afmultimer,4E81,1,predictions\_raw\afmultimer\4E81\output_dir%2F4E81%2Funrelaxed_model_2_multimer_v3_pred_0.pdb,predictions\afmultimer\4E81_rank01.pdb
afmultimer,4E81,2,predictions\_raw\afmultimer\4E81\output_dir%2F4E81%2Funrelaxed_model_4_multimer_v3_pred_0.pdb,predictions\afmultimer\4E81_rank02.pdb
afmultimer,4E81,3,predictions\_raw\afmultimer\4E81\output_dir%2F4E81%2Funrelaxed_model_1_multimer_v3_pred_0.pdb,predictions\afmultimer\4E81_rank03.pdb
afmultimer,4E81,4,predictions\_raw\afmultimer\4E81\output_dir%2F4E81%2Funrelaxed_model_5_multimer_v3_pred_0.pdb,predictions\afmultimer\4E81_rank04.pdb
afmultimer,4EZQ,0,predictions\_raw\afmultimer\4EZQ\output_dir%2F4EZQ%2Funrelaxed_model_2_multimer_v3_pred_0.pdb,predictions\afmultimer\4EZQ_rank00.pdb
afmultimer,4EZQ,1,predictions\_raw\afmultimer\4EZQ\output_dir%2F4EZQ%2Funrelaxed_model_3_multimer_v3_pred_0.pdb,predictions\afmultimer\4EZQ_rank01.pdb
afmultimer,4EZQ,2,predictions\_raw\afmultimer\4EZQ\output_dir%2F4EZQ%2Funrelaxed_model_1_multimer_v3_pred_0.pdb,predictions\afmultimer\4EZQ_rank02.pdb
afmultimer,4EZQ,3,predictions\_raw\afmultimer\4EZQ\output_dir%2F4EZQ%2Funrelaxed_model_4_multimer_v3_pred_0.pdb,predictions\afmultimer\4EZQ_rank03.pdb
afmultimer,4EZQ,4,predictions\_raw\afmultimer\4EZQ\output_dir%2F4EZQ%2Funrelaxed_model_5_multimer_v3_pred_0.pdb,predictions\afmultimer\4EZQ_rank04.pdb
afmultimer,4EZS,0,predictions\_raw\afmultimer\4EZS\output_dir%2F4EZS%2Funrelaxed_model_2_multimer_v3_pred_0.pdb,predictions\afmultimer\4EZS_rank00.pdb
afmultimer,4EZS,1,predictions\_raw\afmultimer\4EZS\output_dir%2F4EZS%2Funrelaxed_model_3_multimer_v3_pred_0.pdb,predictions\afmultimer\4EZS_rank01.pdb
afmultimer,4EZS,2,predictions\_raw\afmultimer\4EZS\output_dir%2F4EZS%2Funrelaxed_model_4_multimer_v3_pred_0.pdb,predictions\afmultimer\4EZS_rank02.pdb
afmultimer,4EZS,3,predictions\_raw\afmultimer\4EZS\output_dir%2F4EZS%2Funrelaxed_model_1_multimer_v3_pred_0.pdb,predictions\afmultimer\4EZS_rank03.pdb
afmultimer,4EZS,4,predictions\_raw\afmultimer\4EZS\output_dir%2F4EZS%2Funrelaxed_model_5_multimer_v3_pred_0.pdb,predictions\afmultimer\4EZS_rank04.pdb
afmultimer,6HY2,0,predictions\_raw\afmultimer\6HY2\output_dir%2F6HY2%2Funrelaxed_model_3_multimer_v3_pred_0.pdb,predictions\afmultimer\6HY2_rank00.pdb
afmultimer,6HY2,1,predictions\_raw\afmultimer\6HY2\output_dir%2F6HY2%2Funrelaxed_model_4_multimer_v3_pred_0.pdb,predictions\afmultimer\6HY2_rank01.pdb
afmultimer,6HY2,2,predictions\_raw\afmultimer\6HY2\output_dir%2F6HY2%2Funrelaxed_model_2_multimer_v3_pred_0.pdb,predictions\afmultimer\6HY2_rank02.pdb
afmultimer,6HY2,3,predictions\_raw\afmultimer\6HY2\output_dir%2F6HY2%2Funrelaxed_model_5_multimer_v3_pred_0.pdb,predictions\afmultimer\6HY2_rank03.pdb
afmultimer,6HY2,4,predictions\_raw\afmultimer\6HY2\output_dir%2F6HY2%2Funrelaxed_model_1_multimer_v3_pred_0.pdb,predictions\afmultimer\6HY2_rank04.pdb
boltz,6HY2,0,predictions\_raw\boltz\6hy2\rank_1.cif,predictions\boltz\6HY2_rank00.pdb
boltz,6HY2,1,predictions\_raw\boltz\6hy2\rank_2.cif,predictions\boltz\6HY2_rank01.pdb
boltz,6HY2,2,predictions\_raw\boltz\6hy2\rank_3.cif,predictions\boltz\6HY2_rank02.pdb
boltz,6HY2,3,predictions\_raw\boltz\6hy2\rank_4.cif,predictions\boltz\6HY2_rank03.pdb
boltz,6HY2,4,predictions\_raw\boltz\6hy2\rank_5.cif,predictions\boltz\6HY2_rank04.pdb
chai,3QRX,0,predictions\_raw\chai\3QRX\pred.rank_0.cif,predictions\chai\3QRX_rank00.pdb
chai,3QRX,1,predictions\_raw\chai\3QRX\pred.rank_1.cif,predictions\chai\3QRX_rank01.pdb
chai,3QRX,2,predictions\_raw\chai\3QRX\pred.rank_2.cif,predictions\chai\3QRX_rank02.pdb
chai,3QRX,3,predictions\_raw\chai\3QRX\pred.rank_3.cif,predictions\chai\3QRX_rank03.pdb
chai,3QRX,4,predictions\_raw\chai\3QRX\pred.rank_4.cif,predictions\chai\3QRX_rank04.pdb
chai,4E81,0,predictions\_raw\chai\4E81\pred.rank_0.cif,predictions\chai\4E81_rank00.pdb
chai,4E81,1,predictions\_raw\chai\4E81\pred.rank_1.cif,predictions\chai\4E81_rank01.pdb
chai,4E81,2,predictions\_raw\chai\4E81\pred.rank_2.cif,predictions\chai\4E81_rank02.pdb
chai,4E81,3,predictions\_raw\chai\4E81\pred.rank_3.cif,predictions\chai\4E81_rank03.pdb
chai,4E81,4,predictions\_raw\chai\4E81\pred.rank_4.cif,predictions\chai\4E81_rank04.pdb
chai,4EZO,0,predictions\_raw\chai\4EZO\pred.rank_0.cif,predictions\chai\4EZO_rank00.pdb
chai,4EZO,1,predictions\_raw\chai\4EZO\pred.rank_1.cif,predictions\chai\4EZO_rank01.pdb
chai,4EZO,2,predictions\_raw\chai\4EZO\pred.rank_2.cif,predictions\chai\4EZO_rank02.pdb
chai,4EZO,3,predictions\_raw\chai\4EZO\pred.rank_3.cif,predictions\chai\4EZO_rank03.pdb
chai,4EZO,4,predictions\_raw\chai\4EZO\pred.rank_4.cif,predictions\chai\4EZO_rank04.pdb
chai,4EZQ,0,predictions\_raw\chai\4EZQ\pred.rank_0.cif,predictions\chai\4EZQ_rank00.pdb
chai,4EZQ,1,predictions\_raw\chai\4EZQ\pred.rank_1.cif,predictions\chai\4EZQ_rank01.pdb
chai,4EZQ,2,predictions\_raw\chai\4EZQ\pred.rank_2.cif,predictions\chai\4EZQ_rank02.pdb
chai,4EZQ,3,predictions\_raw\chai\4EZQ\pred.rank_3.cif,predictions\chai\4EZQ_rank03.pdb
chai,4EZQ,4,predictions\_raw\chai\4EZQ\pred.rank_4.cif,predictions\chai\4EZQ_rank04.pdb
chai,4EZR,0,predictions\_raw\chai\4EZR\pred.rank_0.cif,predictions\chai\4EZR_rank00.pdb
chai,4EZR,1,predictions\_raw\chai\4EZR\pred.rank_1.cif,predictions\chai\4EZR_rank01.pdb
chai,4EZR,2,predictions\_raw\chai\4EZR\pred.rank_2.cif,predictions\chai\4EZR_rank02.pdb
chai,4EZR,3,predictions\_raw\chai\4EZR\pred.rank_3.cif,predictions\chai\4EZR_rank03.pdb
chai,4EZR,4,predictions\_raw\chai\4EZR\pred.rank_4.cif,predictions\chai\4EZR_rank04.pdb
chai,4EZS,0,predictions\_raw\chai\4EZS\pred.rank_0.cif,predictions\chai\4EZS_rank00.pdb
chai,4EZS,1,predictions\_raw\chai\4EZS\pred.rank_1.cif,predictions\chai\4EZS_rank01.pdb
chai,4EZS,2,predictions\_raw\chai\4EZS\pred.rank_2.cif,predictions\chai\4EZS_rank02.pdb
chai,4EZS,3,predictions\_raw\chai\4EZS\pred.rank_3.cif,predictions\chai\4EZS_rank03.pdb
chai,4EZS,4,predictions\_raw\chai\4EZS\pred.rank_4.cif,predictions\chai\4EZS_rank04.pdb
chai,4EZU,0,predictions\_raw\chai\4EZU\pred.rank_0.cif,predictions\chai\4EZU_rank00.pdb
chai,4EZU,1,predictions\_raw\chai\4EZU\pred.rank_1.cif,predictions\chai\4EZU_rank01.pdb
chai,4EZU,2,predictions\_raw\chai\4EZU\pred.rank_2.cif,predictions\chai\4EZU_rank02.pdb
chai,4EZU,3,predictions\_raw\chai\4EZU\pred.rank_3.cif,predictions\chai\4EZU_rank03.pdb
chai,4EZU,4,predictions\_raw\chai\4EZU\pred.rank_4.cif,predictions\chai\4EZU_rank04.pdb
chai,4JWC,0,predictions\_raw\chai\4JWC\pred.rank_0.cif,predictions\chai\4JWC_rank00.pdb
chai,4JWC,1,predictions\_raw\chai\4JWC\pred.rank_1.cif,predictions\chai\4JWC_rank01.pdb
chai,4JWC,2,predictions\_raw\chai\4JWC\pred.rank_2.cif,predictions\chai\4JWC_rank02.pdb
chai,4JWC,3,predictions\_raw\chai\4JWC\pred.rank_3.cif,predictions\chai\4JWC_rank03.pdb
chai,4JWC,4,predictions\_raw\chai\4JWC\pred.rank_4.cif,predictions\chai\4JWC_rank04.pdb
chai,4JWD,0,predictions\_raw\chai\4JWD\pred.rank_0.cif,predictions\chai\4JWD_rank00.pdb
chai,4JWD,1,predictions\_raw\chai\4JWD\pred.rank_1.cif,predictions\chai\4JWD_rank01.pdb
chai,4JWD,2,predictions\_raw\chai\4JWD\pred.rank_2.cif,predictions\chai\4JWD_rank02.pdb
chai,4JWD,3,predictions\_raw\chai\4JWD\pred.rank_3.cif,predictions\chai\4JWD_rank03.pdb
chai,4JWD,4,predictions\_raw\chai\4JWD\pred.rank_4.cif,predictions\chai\4JWD_rank04.pdb
chai,6HY2,0,predictions\_raw\chai\6HY2\pred.rank_0.cif,predictions\chai\6HY2_rank00.pdb
chai,6HY2,1,predictions\_raw\chai\6HY2\pred.rank_1.cif,predictions\chai\6HY2_rank01.pdb
chai,6HY2,2,predictions\_raw\chai\6HY2\pred.rank_2.cif,predictions\chai\6HY2_rank02.pdb
chai,6HY2,3,predictions\_raw\chai\6HY2\pred.rank_3.cif,predictions\chai\6HY2_rank03.pdb
chai,6HY2,4,predictions\_raw\chai\6HY2\pred.rank_4.cif,predictions\chai\6HY2_rank04.pdb
chai,6Z2P,0,predictions\_raw\chai\6Z2P\pred.rank_0.cif,predictions\chai\6Z2P_rank00.pdb
chai,6Z2P,1,predictions\_raw\chai\6Z2P\pred.rank_1.cif,predictions\chai\6Z2P_rank01.pdb
chai,6Z2P,2,predictions\_raw\chai\6Z2P\pred.rank_2.cif,predictions\chai\6Z2P_rank02.pdb
chai,6Z2P,3,predictions\_raw\chai\6Z2P\pred.rank_3.cif,predictions\chai\6Z2P_rank03.pdb
chai,6Z2P,4,predictions\_raw\chai\6Z2P\pred.rank_4.cif,predictions\chai\6Z2P_rank04.pdb
chai,7SAY,0,predictions\_raw\chai\7SAY\pred.rank_0.cif,predictions\chai\7SAY_rank00.pdb
chai,7SAY,1,predictions\_raw\chai\7SAY\pred.rank_1.cif,predictions\chai\7SAY_rank01.pdb
chai,7SAY,2,predictions\_raw\chai\7SAY\pred.rank_2.cif,predictions\chai\7SAY_rank02.pdb
chai,7SAY,3,predictions\_raw\chai\7SAY\pred.rank_3.cif,predictions\chai\7SAY_rank03.pdb
chai,7SAY,4,predictions\_raw\chai\7SAY\pred.rank_4.cif,predictions\chai\7SAY_rank04.pdb
chai,8AHT,0,predictions\_raw\chai\8AHT\pred.rank_0.cif,predictions\chai\8AHT_rank00.pdb
chai,8AHT,1,predictions\_raw\chai\8AHT\pred.rank_1.cif,predictions\chai\8AHT_rank01.pdb
chai,8AHT,2,predictions\_raw\chai\8AHT\pred.rank_2.cif,predictions\chai\8AHT_rank02.pdb
chai,8AHT,3,predictions\_raw\chai\8AHT\pred.rank_3.cif,predictions\chai\8AHT_rank03.pdb
chai,8AHT,4,predictions\_raw\chai\8AHT\pred.rank_4.cif,predictions\chai\8AHT_rank04.pdb
chai,8GAL,0,predictions\_raw\chai\8GAL\pred.rank_0.cif,predictions\chai\8GAL_rank00.pdb
chai,8GAL,1,predictions\_raw\chai\8GAL\pred.rank_1.cif,predictions\chai\8GAL_rank01.pdb
chai,8GAL,2,predictions\_raw\chai\8GAL\pred.rank_2.cif,predictions\chai\8GAL_rank02.pdb
chai,8GAL,3,predictions\_raw\chai\8GAL\pred.rank_3.cif,predictions\chai\8GAL_rank03.pdb
chai,8GAL,4,predictions\_raw\chai\8GAL\pred.rank_4.cif,predictions\chai\8GAL_rank04.pdb
protenix,3QRX,0,predictions\_raw\protenix\3QRX\protenix_prediction_3QRX\seed_24400\predictions\protenix_prediction_3QRX_sample_0.cif,predictions\protenix\3QRX_rank00.pdb
protenix,3QRX,1,predictions\_raw\protenix\3QRX\protenix_prediction_3QRX\seed_24400\predictions\protenix_prediction_3QRX_sample_1.cif,predictions\protenix\3QRX_rank01.pdb
protenix,3QRX,2,predictions\_raw\protenix\3QRX\protenix_prediction_3QRX\seed_24400\predictions\protenix_prediction_3QRX_sample_2.cif,predictions\protenix\3QRX_rank02.pdb
protenix,3QRX,3,predictions\_raw\protenix\3QRX\protenix_prediction_3QRX\seed_24400\predictions\protenix_prediction_3QRX_sample_3.cif,predictions\protenix\3QRX_rank03.pdb
protenix,3QRX,4,predictions\_raw\protenix\3QRX\protenix_prediction_3QRX\seed_24400\predictions\protenix_prediction_3QRX_sample_4.cif,predictions\protenix\3QRX_rank04.pdb
protenix,4E81,0,predictions\_raw\protenix\4E81\protenix_prediction_4E81\seed_81273\predictions\protenix_prediction_4E81_sample_0.cif,predictions\protenix\4E81_rank00.pdb
protenix,4E81,1,predictions\_raw\protenix\4E81\protenix_prediction_4E81\seed_81273\predictions\protenix_prediction_4E81_sample_1.cif,predictions\protenix\4E81_rank01.pdb
protenix,4E81,2,predictions\_raw\protenix\4E81\protenix_prediction_4E81\seed_81273\predictions\protenix_prediction_4E81_sample_2.cif,predictions\protenix\4E81_rank02.pdb
protenix,4E81,3,predictions\_raw\protenix\4E81\protenix_prediction_4E81\seed_81273\predictions\protenix_prediction_4E81_sample_3.cif,predictions\protenix\4E81_rank03.pdb
protenix,4E81,4,predictions\_raw\protenix\4E81\protenix_prediction_4E81\seed_81273\predictions\protenix_prediction_4E81_sample_4.cif,predictions\protenix\4E81_rank04.pdb
protenix,4EZO,0,predictions\_raw\protenix\4EZO\protenix_prediction_4EZO\seed_20706\predictions\protenix_prediction_4EZO_sample_0.cif,predictions\protenix\4EZO_rank00.pdb
protenix,4EZO,1,predictions\_raw\protenix\4EZO\protenix_prediction_4EZO\seed_20706\predictions\protenix_prediction_4EZO_sample_1.cif,predictions\protenix\4EZO_rank01.pdb
protenix,4EZO,2,predictions\_raw\protenix\4EZO\protenix_prediction_4EZO\seed_20706\predictions\protenix_prediction_4EZO_sample_2.cif,predictions\protenix\4EZO_rank02.pdb
protenix,4EZO,3,predictions\_raw\protenix\4EZO\protenix_prediction_4EZO\seed_20706\predictions\protenix_prediction_4EZO_sample_3.cif,predictions\protenix\4EZO_rank03.pdb
protenix,4EZO,4,predictions\_raw\protenix\4EZO\protenix_prediction_4EZO\seed_20706\predictions\protenix_prediction_4EZO_sample_4.cif,predictions\protenix\4EZO_rank04.pdb
protenix,4EZQ,0,predictions\_raw\protenix\4EZQ\protenix_prediction_4EZQ\seed_75699\predictions\protenix_prediction_4EZQ_sample_0.cif,predictions\protenix\4EZQ_rank00.pdb
protenix,4EZQ,1,predictions\_raw\protenix\4EZQ\protenix_prediction_4EZQ\seed_75699\predictions\protenix_prediction_4EZQ_sample_1.cif,predictions\protenix\4EZQ_rank01.pdb
protenix,4EZQ,2,predictions\_raw\protenix\4EZQ\protenix_prediction_4EZQ\seed_75699\predictions\protenix_prediction_4EZQ_sample_2.cif,predictions\protenix\4EZQ_rank02.pdb
protenix,4EZQ,3,predictions\_raw\protenix\4EZQ\protenix_prediction_4EZQ\seed_75699\predictions\protenix_prediction_4EZQ_sample_3.cif,predictions\protenix\4EZQ_rank03.pdb
protenix,4EZQ,4,predictions\_raw\protenix\4EZQ\protenix_prediction_4EZQ\seed_75699\predictions\protenix_prediction_4EZQ_sample_4.cif,predictions\protenix\4EZQ_rank04.pdb
protenix,4EZR,0,predictions\_raw\protenix\4EZR\protenix_prediction_4EZR\seed_97887\predictions\protenix_prediction_4EZR_sample_0.cif,predictions\protenix\4EZR_rank00.pdb
protenix,4EZR,1,predictions\_raw\protenix\4EZR\protenix_prediction_4EZR\seed_97887\predictions\protenix_prediction_4EZR_sample_1.cif,predictions\protenix\4EZR_rank01.pdb
protenix,4EZR,2,predictions\_raw\protenix\4EZR\protenix_prediction_4EZR\seed_97887\predictions\protenix_prediction_4EZR_sample_2.cif,predictions\protenix\4EZR_rank02.pdb
protenix,4EZR,3,predictions\_raw\protenix\4EZR\protenix_prediction_4EZR\seed_97887\predictions\protenix_prediction_4EZR_sample_3.cif,predictions\protenix\4EZR_rank03.pdb
protenix,4EZR,4,predictions\_raw\protenix\4EZR\protenix_prediction_4EZR\seed_97887\predictions\protenix_prediction_4EZR_sample_4.cif,predictions\protenix\4EZR_rank04.pdb
protenix,4EZS,0,predictions\_raw\protenix\4EZS\protenix_prediction_c0e15792\seed_67025\predictions\protenix_prediction_c0e15792_sample_0.cif,predictions\protenix\4EZS_rank00.pdb
protenix,4EZS,1,predictions\_raw\protenix\4EZS\protenix_prediction_c0e15792\seed_67025\predictions\protenix_prediction_c0e15792_sample_1.cif,predictions\protenix\4EZS_rank01.pdb
protenix,4EZS,2,predictions\_raw\protenix\4EZS\protenix_prediction_c0e15792\seed_67025\predictions\protenix_prediction_c0e15792_sample_2.cif,predictions\protenix\4EZS_rank02.pdb
protenix,4EZS,3,predictions\_raw\protenix\4EZS\protenix_prediction_c0e15792\seed_67025\predictions\protenix_prediction_c0e15792_sample_3.cif,predictions\protenix\4EZS_rank03.pdb
protenix,4EZS,4,predictions\_raw\protenix\4EZS\protenix_prediction_c0e15792\seed_67025\predictions\protenix_prediction_c0e15792_sample_4.cif,predictions\protenix\4EZS_rank04.pdb
protenix,4EZU,0,predictions\_raw\protenix\4EZU\protenix_prediction_4EZU\seed_91771\predictions\protenix_prediction_4EZU_sample_0.cif,predictions\protenix\4EZU_rank00.pdb
protenix,4EZU,1,predictions\_raw\protenix\4EZU\protenix_prediction_4EZU\seed_91771\predictions\protenix_prediction_4EZU_sample_1.cif,predictions\protenix\4EZU_rank01.pdb
protenix,4EZU,2,predictions\_raw\protenix\4EZU\protenix_prediction_4EZU\seed_91771\predictions\protenix_prediction_4EZU_sample_2.cif,predictions\protenix\4EZU_rank02.pdb
protenix,4EZU,3,predictions\_raw\protenix\4EZU\protenix_prediction_4EZU\seed_91771\predictions\protenix_prediction_4EZU_sample_3.cif,predictions\protenix\4EZU_rank03.pdb
protenix,4EZU,4,predictions\_raw\protenix\4EZU\protenix_prediction_4EZU\seed_91771\predictions\protenix_prediction_4EZU_sample_4.cif,predictions\protenix\4EZU_rank04.pdb
protenix,4JWC,0,predictions\_raw\protenix\4JWC\protenix_prediction_4JWC\seed_57781\predictions\protenix_prediction_4JWC_sample_0.cif,predictions\protenix\4JWC_rank00.pdb
protenix,4JWC,1,predictions\_raw\protenix\4JWC\protenix_prediction_4JWC\seed_57781\predictions\protenix_prediction_4JWC_sample_1.cif,predictions\protenix\4JWC_rank01.pdb
protenix,4JWC,2,predictions\_raw\protenix\4JWC\protenix_prediction_4JWC\seed_57781\predictions\protenix_prediction_4JWC_sample_2.cif,predictions\protenix\4JWC_rank02.pdb
protenix,4JWC,3,predictions\_raw\protenix\4JWC\protenix_prediction_4JWC\seed_57781\predictions\protenix_prediction_4JWC_sample_3.cif,predictions\protenix\4JWC_rank03.pdb
protenix,4JWC,4,predictions\_raw\protenix\4JWC\protenix_prediction_4JWC\seed_57781\predictions\protenix_prediction_4JWC_sample_4.cif,predictions\protenix\4JWC_rank04.pdb
protenix,4JWD,0,predictions\_raw\protenix\4JWD\protenix_prediction_4JWD\seed_79568\predictions\protenix_prediction_4JWD_sample_0.cif,predictions\protenix\4JWD_rank00.pdb
protenix,4JWD,1,predictions\_raw\protenix\4JWD\protenix_prediction_4JWD\seed_79568\predictions\protenix_prediction_4JWD_sample_1.cif,predictions\protenix\4JWD_rank01.pdb
protenix,4JWD,2,predictions\_raw\protenix\4JWD\protenix_prediction_4JWD\seed_79568\predictions\protenix_prediction_4JWD_sample_2.cif,predictions\protenix\4JWD_rank02.pdb
protenix,4JWD,3,predictions\_raw\protenix\4JWD\protenix_prediction_4JWD\seed_79568\predictions\protenix_prediction_4JWD_sample_3.cif,predictions\protenix\4JWD_rank03.pdb
protenix,4JWD,4,predictions\_raw\protenix\4JWD\protenix_prediction_4JWD\seed_79568\predictions\protenix_prediction_4JWD_sample_4.cif,predictions\protenix\4JWD_rank04.pdb
protenix,6HY2,0,predictions\_raw\protenix\6HY2\protenix_prediction_dae10dad\seed_79244\predictions\protenix_prediction_dae10dad_sample_0.cif,predictions\protenix\6HY2_rank00.pdb
protenix,6HY2,1,predictions\_raw\protenix\6HY2\protenix_prediction_dae10dad\seed_79244\predictions\protenix_prediction_dae10dad_sample_1.cif,predictions\protenix\6HY2_rank01.pdb
protenix,6HY2,2,predictions\_raw\protenix\6HY2\protenix_prediction_dae10dad\seed_79244\predictions\protenix_prediction_dae10dad_sample_2.cif,predictions\protenix\6HY2_rank02.pdb
protenix,6HY2,3,predictions\_raw\protenix\6HY2\protenix_prediction_dae10dad\seed_79244\predictions\protenix_prediction_dae10dad_sample_3.cif,predictions\protenix\6HY2_rank03.pdb
protenix,6HY2,4,predictions\_raw\protenix\6HY2\protenix_prediction_dae10dad\seed_79244\predictions\protenix_prediction_dae10dad_sample_4.cif,predictions\protenix\6HY2_rank04.pdb
